DNI,Libreta,Nombre_Apellido
46102693,147879,Mateo Iñaqui Barros
42831025,LU,Rodrigo Matías Stremel
45907932,LU,Santiago Trivellini
44102931,LU-2024-01,Agustina Belén Morales
43890123,LU-2024-02,Benjamín Ignacio Castro
45019284,LU-2024-03,Camila Florencia Romero
44321908,LU-2024-04,Dante Ezequiel Navarro
43765432,LU-2024-05,Elena Sofía Vázquez
45230918,LU-2024-06,Facundo Gabriel Herrera
44567890,LU-2024-07,Guadalupe Martina Silva
43981234,LU-2024-08,Ignacio Tomás Benítez
45109876,LU-2024-09,Jazmín Luciana Díaz
44876543,LU-2024-10,Lautaro Valentín Gómez
43654321,LU-2024-11,Malena Victoria Ramos
45345678,LU-2024-12,Nicolás Alejandro Ruiz
44234567,LU-2024-13,Olivia Solange Medina
43901234,LU-2024-14,Pedro Joaquín Pereyra
45456789,LU-2024-15,Renata Micaela Acosta
44678901,LU-2024-16,Santiago Leonel Ortiz
43876543,LU-2024-17,Trinidad Zoe Vega
45567890,LU-2024-18,Ulises Manuel Torres
44012345,LU-2024-19,Valentina Abigail Flores
43789012,LU-2024-20,Valerio Andrés Luna
45678901,LU-2024-21,Zoe Milagros Castillo
44123450,LU-2024-22,Matías Daniel Ferreyra
43567891,LU-2024-23,Julieta Nicole Sánchez
45789012,LU-2024-24,Lucas Emiliano Giménez
44901235,LU-2024-25,Brisa Antonella Carrizo
43456782,LU-2024-26,Franco Matías Ponce
45890123,LU-2024-27,Mia Valentina Córdoba
44789013,LU-2024-28,Bruno Agustín Domínguez
43345679,LU-2024-29,Candela Julieta Cabrera
45901234,LU-2024-30,Rodrigo Gastón Ríos
